STDR_YYQU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,SVC_INDUTY_CD,SVC_INDUTY_CD_NM,SIMILR_INDUTY_STOR_CO,STOR_CO,FRC_STOR_CO,OPBIZ_RT,OPBIZ_STOR_CO,CLSBIZ_RT,CLSBIZ_STOR_CO
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100002,중식음식점,21.0,18.0,3.0,0.0,0.0,5.0,1.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100003,일식음식점,19.0,16.0,3.0,11.0,2.0,5.0,1.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100004,양식음식점,44.0,35.0,9.0,0.0,0.0,2.0,1.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100005,제과점,19.0,11.0,8.0,5.0,1.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100006,패스트푸드점,26.0,12.0,14.0,4.0,1.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100007,치킨전문점,12.0,3.0,9.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100008,분식전문점,52.0,40.0,12.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100009,호프-간이주점,28.0,18.0,10.0,7.0,2.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS100010,커피-음료,109.0,75.0,34.0,3.0,3.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS200001,일반교습학원,8.0,7.0,1.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS200002,외국어학원,1.0,1.0,0.0,0.0,0.0,0.0,0.0
20262,U,관광특구,3001493,동대문패션타운 관광특구,CS200005,스포츠 강습,6.0,6.0,0.0,0.0,0.0,17.0,1.0
